segment_id,edge_idx,source,target,direction,br,km_start,km_end,length_km,midpoint_lat,midpoint_lon
0,0,6fcgzefr,6fcus27c,C,481,0.0,21.2,21.2,-28.794380364999967,-53.52662891499995
1,0,6fcus27c,6fcgzefr,D,481,0.0,21.2,21.2,-28.794380364999967,-53.52662891499995
2,1,6fcgzefr,6ff4w49u,C,481,21.2,63.5,42.3,-28.96376562499995,-53.31386590499994
3,1,6ff4w49u,6fcgzefr,D,481,21.2,63.5,42.3,-28.96376562499995,-53.31386590499994
4,2,6fcus27c,6fcuu7tz,C,158,198.8,206.0,7.199999999999989,-28.707191884999958,-53.59548399499994
5,2,6fcuu7tz,6fcus27c,D,158,198.8,206.0,7.199999999999989,-28.707191884999958,-53.59548399499994
6,3,6fcus27c,6fcfg609,C,158,206.0,240.9,34.900000000000006,-28.887626419999947,-53.62118049499995
7,3,6fcfg609,6fcus27c,D,158,206.0,240.9,34.900000000000006,-28.887626419999947,-53.62118049499995
8,4,6ff4w49u,6ff38khx,C,481,63.5,89.4,25.900000000000006,-29.160818724999956,-53.11997700499995
9,4,6ff38khx,6ff4w49u,D,481,63.5,89.4,25.900000000000006,-29.160818724999956,-53.11997700499995
10,5,6ff38khx,6ff30h5b,C,481,89.4,101.5,12.099999999999994,-29.28885859999997,-53.07468635999996
11,5,6ff30h5b,6ff38khx,D,481,89.4,101.5,12.099999999999994,-29.28885859999997,-53.07468635999996
12,6,6ff30h5b,6ff29ws6,C,481,101.5,113.2,11.700000000000003,-29.370351489999962,-53.04742604499995
13,6,6ff29ws6,6ff30h5b,D,481,101.5,113.2,11.700000000000003,-29.370351489999962,-53.04742604499995
14,7,6ff29ws6,6ff2963v,C,481,113.2,117.0,3.799999999999997,-29.41863342999997,-53.021327164999946
15,7,6ff2963v,6ff29ws6,D,481,113.2,117.0,3.799999999999997,-29.41863342999997,-53.021327164999946
16,8,6ff2963v,6fdr7j55,C,481,117.0,156.8,39.80000000000001,-29.532499444999956,-52.98918131499994
17,8,6fdr7j55,6ff2963v,D,481,117.0,156.8,39.80000000000001,-29.532499444999956,-52.98918131499994
18,9,6fdr7j55,6fdqg5my,C,481,156.8,169.3,12.5,-29.683489209999948,-52.947934319999945
19,9,6fdqg5my,6fdr7j55,D,481,156.8,169.3,12.5,-29.683489209999948,-52.947934319999945
20,10,6fdqg5my,6fdrnsdy,C,153,349.7,366.1,16.400000000000034,-29.706583189999947,-52.87122641999994
21,10,6fdrnsdy,6fdqg5my,D,153,349.7,366.1,16.400000000000034,-29.706583189999947,-52.87122641999994
22,11,6fdqg5my,6fdqff4c,C,153,366.1,367.8,1.6999999999999886,-29.735900769999972,-52.95363309999996
23,11,6fdqff4c,6fdqg5my,D,153,366.1,367.8,1.6999999999999886,-29.735900769999972,-52.95363309999996
24,12,6f977dkm,6f97kc7e,C,290,412.9,418.4,5.5,-30.35585348999993,-54.305420959999964
25,12,6f97kc7e,6f977dkm,D,290,412.9,418.4,5.5,-30.35585348999993,-54.305420959999964
26,13,6f977dkm,6f9h48dx,C,290,418.4,461.4,43.0,-30.29164130999993,-54.531242179999964
27,13,6f9h48dx,6f977dkm,D,290,418.4,461.4,43.0,-30.29164130999993,-54.531242179999964
28,14,6f97kc7e,6f980zzd,C,473,5.5,82.5,77.0,-30.62658385499995,-54.18790930999998
29,14,6f980zzd,6f97kc7e,D,473,5.5,82.5,77.0,-30.62658385499995,-54.18790930999998
30,15,6f97kc7e,6f9emutp,C,290,372.2,412.9,40.69999999999999,-30.34944986499994,-54.07968000499997
31,15,6f9emutp,6f97kc7e,D,290,372.2,412.9,40.69999999999999,-30.34944986499994,-54.07968000499997
32,16,6f980zzd,6f3w0h2g,C,473,82.5,129.2,46.69999999999999,-31.07976085499996,-54.11837692999998
33,16,6f3w0h2g,6f980zzd,D,473,82.5,129.2,46.69999999999999,-31.07976085499996,-54.11837692999998
34,17,6f3w0h2g,6f3tbmt9,C,473,129.2,134.0,4.800000000000011,-31.283810729999942,-54.13063223999998
35,17,6f3tbmt9,6f3w0h2g,D,473,129.2,134.0,4.800000000000011,-31.283810729999942,-54.13063223999998
36,18,6f3w0h2g,6f3tg8v1,C,293,172.6,189.3,16.700000000000017,-31.296873959999942,-54.059579094999975
37,18,6f3tg8v1,6f3w0h2g,D,293,172.6,189.3,16.700000000000017,-31.296873959999942,-54.059579094999975
38,19,6f3w0h2g,6f3pu4e8,C,293,189.3,251.1,61.79999999999998,-31.116351244999947,-54.40122103999997
39,19,6f3pu4e8,6f3w0h2g,D,293,189.3,251.1,61.79999999999998,-31.116351244999947,-54.40122103999997
40,20,6f3tbmt9,6f3t8vc7,C,473,134.0,139.5,5.5,-31.32364649999994,-54.113768644999965
41,20,6f3t8vc7,6f3tbmt9,D,473,134.0,139.5,5.5,-31.32364649999994,-54.113768644999965
42,21,6f3t8vc7,6f3t2qsy,C,473,139.5,144.4,4.900000000000006,-31.364447714999955,-54.11431495499994
